ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19392,theu5-theu5-e2,theu1-theu1-e3,thêu-thêu-é,[tʰeu˨˦] [tʰeu˨˦] [e˧˩],偷偷仔,,,,
19393,theu5-theu5,theu1-theu1,thêu-thêu,[tʰeu˨˦] [tʰeu˨˦],偷偷,,,,
19394,theu5,theu1,thêu,[tʰeu˨˦],偷,,,,
19395,thin5-thung5,thin1-thung1,thîn-thûng,[tʰin˨˦] [tʰuŋ˨˦],挺動,,,,
19396,tho5-cheu2,tho1-cheu3,thô-chéu,[tʰo˨˦] [tseu˧˩],拖走,,,,
19397,tho5-chhut,tho1-chhut6,thô-chhut,[tʰo˨˦] [tsʰut̚˨],拖出,,,,
19398,tho5-chha5,tho1-chha1,thô-chhâ,[tʰo˨˦] [tsʰa˨˦],拖車,,,,
19399,tho5-hiong,tho1-hiong4,thô-hiong,[tʰo˨˦] [hioŋ˥˥],拖向,,,,
19400,tho5-hai3,tho1-hai2,thô-hài,[tʰo˨˦] [hai˩˩],拖鞋,,,,
19401,tho5-lu,tho1-lu4,thô-lu,[tʰo˨˦] [lu˥˥],導路,,,,
19402,tho5-lui,tho1-lui4,thô-lui,[tʰo˨˦] [lui˥˥],拖累,,,,
19403,tho5-lai3,tho1-lai2,thô-lài,[tʰo˨˦] [lai˩˩],拖犁,,,,
19404,tho5-ngip8,tho1-ngip5,thô-ngi̍p,[tʰo˨˦] [ɲip̚˥],拖入,,,,
19405,tho5-pha3,tho1-pha2,thô-phà,[tʰo˨˦] [pʰa˩˩],拖耙,,,,
19406,tho5-song5,tho1-song1,thô-sông,[tʰo˨˦] [soŋ˨˦],拖上,,,,
19407,tho5-ten2,tho1-ten3,thô-tén,[tʰo˨˦] [ten˧˩],拖著,,,,
19408,tho5-tho5,tho1-tho1,thô-thô,[tʰo˨˦] [tʰo˨˦],拖拖,,,,
19409,tho5-to,tho1-to4,thô-to,[tʰo˨˦] [to˥˥],拖到,,,,
19410,tho5-yen3,tho1-yen2,thô-yèn,[tʰo˨˦] [yen˩˩],拖延,,,,
19411,tho5,tho1,thô,[tʰo˨˦],拖,,,,
19412,tho5-to,tho1-to4,thô-to,[tʰo˨˦] [to˥˥],導到,,,,
19413,tho5,tho1,thô,[tʰo˨˦],導,,,,
19414,thoi5-e2,thoi1-e3,thôi-é,[tʰoi˨˦] [e˧˩],梯仔,,,,
19415,thoi5-chhii3,thoi1-chhii2,thôi-chhṳ̀,[tʰoi˨˦] [tsʰɨ˩˩],推辭,,,,
19416,thoi5-tu2,thoi1-tu3,thôi-tú,[tʰoi˨˦] [tu˧˩],胎肚,,,,
19417,thoi5-thet,thoi1-thet6,thôi-thet,[tʰoi˨˦] [tʰet̚˨],推掉,,,,
19418,thoi5,thoi1,thôi,[tʰoi˨˦],推,,,,
19419,thoi5,thoi1,thôi,[tʰoi˨˦],胎,,,,
19420,thon5-chhiet8,thon1-chhiet5,thôn-chhie̍t,[tʰon˨˦] [tɕʰiet̚˥],斷絕,,,,
19421,thon5-chiet,thon1-chiet6,thôn-chiet,[tʰon˨˦] [tɕiet̚˨],斷截,,,,
19422,thon5-hi,thon1-hi4,thôn-hi,[tʰon˨˦] [hi˥˥],斷氣,,,,
19423,thon5-khiet,thon1-khiet6,thôn-khiet,[tʰon˨˦] [kʰiet̚˨],斷缺,,,,
19424,thon5-kong5,thon1-kong1,thôn-kông,[tʰon˨˦] [koŋ˨˦],斷光,,,,
19425,thon5-liong3,thon1-liong2,thôn-liòng,[tʰon˨˦] [lioŋ˩˩],斷糧,,,,
19426,thon5-sui2,thon1-sui3,thôn-súi,[tʰon˨˦] [sui˧˩],斷水,,,,
19427,thon5-thet,thon1-thet6,thôn-thet,[tʰon˨˦] [tʰet̚˨],斷掉,,,,
19428,thon5-vu5,thon1-vu1,thôn-vû,[tʰon˨˦] [ʋu˨˦],斷烏,,,,
19429,thon5,thon1,thôn,[tʰon˨˦],斷,,,,
19430,thong5,thong1,thông,[tʰoŋ˨˦],湯,,,,
19431,thui5-chhii3,thui1-chhii2,thûi-chhṳ̀,[tʰui˨˦] [tsʰɨ˩˩],推辭,,,,
19432,thui5-fan5,thui1-fan1,thûi-fân,[tʰui˨˦] [fan˨˦],推翻,,,,
19433,thui5-son,thui1-son4,thûi-son,[tʰui˨˦] [son˥˥],推算,,,,
19434,thun5-hi,thun1-hi4,thûn-hi,[tʰun˨˦] [hi˥˥],吞去,,,,
19435,thun5-ha5,thun1-ha1,thûn-hâ,[tʰun˨˦] [ha˨˦],吞下,,,,
19436,thun5-met8,thun1-met5,thûn-me̍t,[tʰun˨˦] [met̚˥],吞滅,,,,
19437,thun5-ngiun5,thun1-ngiun1,thûn-ngiûn,[tʰun˨˦] [ɲiun˨˦],吞忍,,,,
19438,thun5-siit8,thun1-siit5,thûn-sṳ̍t,[tʰun˨˦] [sɨt̚˥],吞食,,,,
19439,thun5-sang5,thun1-sang1,thûn-sâng,[tʰun˨˦] [saŋ˨˦],吞聲,,,,
19440,thun5-thet,thun1-thet6,thûn-thet,[tʰun˨˦] [tʰet̚˨],吞掉,,,,
19441,thun5,thun1,thûn,[tʰun˨˦],吞,,,,
19442,thung5-fun5,thung1-fun1,thûng-fûn,[tʰuŋ˨˦] [fun˨˦],通婚,,,,
19443,thung5-hiong,thung1-hiong4,thûng-hiong,[tʰuŋ˨˦] [hioŋ˥˥],通向,,,,
19444,thung5-kien5,thung1-kien1,thûng-kiên,[tʰuŋ˨˦] [kien˨˦],通姦,,,,
19445,thung5-ko,thung1-ko4,thûng-ko,[tʰuŋ˨˦] [ko˥˥],通過,,,,
19446,thung5-ko,thung1-ko4,thûng-ko,[tʰuŋ˨˦] [ko˥˥],通告,,,,
19447,thung5-lu,thung1-lu4,thûng-lu,[tʰuŋ˨˦] [lu˥˥],通路,,,,
19448,thung5-su2,thung1-su3,thûng-sú,[tʰuŋ˨˦] [su˧˩],動手,,,,
19449,thung5-sin,thung1-sin4,thûng-sin,[tʰuŋ˨˦] [ɕin˥˥],通信,,,,
19450,thung5-song3,thung1-song2,thûng-sòng,[tʰuŋ˨˦] [soŋ˩˩],通常,,,,
19451,thung5-to2,thung1-to3,thûng-tó,[tʰuŋ˨˦] [to˧˩],動到,,,,
19452,thung5-thi2,thung1-thi3,thûng-thí,[tʰuŋ˨˦] [tʰi˧˩],通體,,,,
19453,thung5-that8,thung1-that5,thûng-tha̍t,[tʰuŋ˨˦] [tʰat̚˥],通達,,,,
19454,thung5-to,thung1-to4,thûng-to,[tʰuŋ˨˦] [to˥˥],動到,,,,
19455,thung5-ti5,thung1-ti1,thûng-tî,[tʰuŋ˨˦] [ti˨˦],通知,,,,
19456,thung5-to5,thung1-to1,thûng-tô,[tʰuŋ˨˦] [to˨˦],動刀,,,,
19457,thung5-vong5,thung1-vong1,thûng-vông,[tʰuŋ˨˦] [ʋoŋ˨˦],通往,,,,
19458,thung5-yung,thung1-yung4,thûng-yung,[tʰuŋ˨˦] [yuŋ˥˥],通用,,,,
19459,thung5,thung1,thûng,[tʰuŋ˨˦],動,,,,
19460,thung5-to2,thung1-to3,thûng-tó,[tʰuŋ˨˦] [to˧˩],通到,,,,
19461,thung5-to,thung1-to4,thûng-to,[tʰuŋ˨˦] [to˥˥],通到,,,,
19462,thung5,thung1,thûng,[tʰuŋ˨˦],通,,,,
19463,thai3-kin5,thai2-kin1,thài-kîn,[tʰai˩˩] [kin˨˦],蹄筋,,,,
19464,thai3-sang5,thai2-sang1,thài-sâng,[tʰai˩˩] [saŋ˨˦],啼聲,,,,
19465,thai3-thai3,thai2-thai2,thài-thài,[tʰai˩˩] [tʰai˩˩],汰汰,,,,
19466,thai3,thai2,thài,[tʰai˩˩],啼,,,,
19467,thai3,thai2,thài,[tʰai˩˩],蹄,,,,
19468,tham3-chhin3,tham2-chhin2,thàm-chhìn,[tʰam˩˩] [tɕʰin˩˩],談情,,,,
19469,tham3-lun,tham2-lun4,thàm-lun,[tʰam˩˩] [lun˥˥],談論,,,,
19470,tham3-phan,tham2-phan4,thàm-phan,[tʰam˩˩] [pʰan˥˥],談判,,,,
19471,tham3,tham2,thàm,[tʰam˩˩],談,,,,
19472,than3-cheu,than2-cheu4,thàn-cheu,[tʰan˩˩] [tseu˥˥],彈奏,,,,
19473,than3-chhut,than2-chhut6,thàn-chhut,[tʰan˩˩] [tsʰut̚˨],彈出,,,,
19474,than3-hiong5-muk,than2-hiong1-muk6,thàn-hiông-muk,[tʰan˩˩] [hioŋ˨˦] [muk̚˨],檀香木,,,,
19475,than3-hiong5,than2-hiong1,thàn-hiông,[tʰan˩˩] [hioŋ˨˦],檀香,,,,
19476,than3-khim3,than2-khim2,thàn-khìm,[tʰan˩˩] [kʰim˩˩],彈琴,,,,
